ip,request_count,error_rate,avg_bytes,unique_paths,anomaly_score,is_anomaly,ml_anomaly
110.226.224.208,12,0.16666666666666666,2630.1666666666665,9,-1,True,True
114.119.141.53,1,1.0,341.0,1,-1,True,True
114.31.128.89,40,0.0,44323.15,23,-1,True,False
114.31.179.179,28,0.0,57230.96428571428,25,-1,True,False
117.193.13.5,197,0.0,12317.873096446701,126,-1,True,True
117.195.12.56,74,0.0,20784.013513513513,70,-1,True,False
117.195.142.231,301,0.0,8014.777408637874,131,-1,True,True
117.195.228.202,230,0.0,6061.308695652174,101,-1,True,True
117.233.210.143,1724,0.0,5374.622389791183,275,-1,True,True
117.238.112.121,415,0.0,5385.450602409638,102,-1,True,True
117.96.146.124,153,0.0,14714.686274509804,87,-1,True,True
117.96.148.61,27,0.0,49831.92592592593,24,-1,True,False
117.96.150.156,29,0.0,58174.31034482759,12,-1,True,False
117.96.172.115,4,0.25,2233.5,4,-1,True,True
117.96.253.64,159,0.0,13947.194968553458,92,-1,True,True
117.98.44.252,27,0.0,48531.62962962963,23,-1,True,False
118.91.189.203,805,0.0,6531.99751552795,113,-1,True,True
122.167.212.222,124,0.0,18249.274193548386,86,-1,True,True
122.168.47.98,134,0.0,14908.708955223881,74,-1,True,False
122.170.20.82,282,0.0,8669.85815602837,119,-1,True,True
122.171.15.3,806,0.0,6739.746898263027,102,-1,True,True
122.172.84.142,114,0.008771929824561403,16909.429824561405,92,-1,True,True
122.172.85.160,88,0.0,20429.022727272728,70,-1,True,False
138.246.253.24,1,1.0,341.0,1,-1,True,True
150.240.161.195,1117,0.0,1183.316920322292,8,-1,True,True
152.56.11.251,111,0.0,29759.225225225226,65,-1,True,False
152.56.134.115,769,0.0,6872.920676202861,195,-1,True,True
152.56.134.181,25,0.08,17798.76,15,-1,True,True
152.56.135.86,18,0.0,61065.055555555555,18,-1,True,False
152.56.146.193,29,0.0,44796.65517241379,28,-1,True,False
152.56.147.80,411,0.0,7708.80291970803,81,-1,True,True
152.56.153.188,404,0.0,6806.153465346535,94,-1,True,True
152.56.153.194,1011,0.0,4977.796241345202,104,-1,True,True
152.56.153.242,624,0.0,7852.083333333333,107,-1,True,True
152.56.154.103,1074,0.0,7203.575418994414,198,-1,True,True
152.58.132.180,451,0.0,9899.935698447893,167,-1,True,True
152.58.132.227,129,0.0,22066.01550387597,82,-1,True,False
152.58.134.151,381,0.0,12305.971128608924,158,-1,True,True
152.58.134.67,208,0.0,10783.274038461539,85,-1,True,True
