ip,request_count,error_rate,avg_bytes,unique_paths,anomaly_score,is_anomaly,ml_anomaly
152.56.147.80,411,0.0,7708.80291970803,81,-1,True,True
152.56.153.188,404,0.0,6806.153465346535,94,-1,True,True
152.56.153.194,1011,0.0,4977.796241345202,104,-1,True,True
152.56.153.242,624,0.0,7852.083333333333,107,-1,True,True
152.56.154.103,1074,0.0,7203.575418994414,198,-1,True,True
152.58.130.4,241,0.0,8737.178423236515,57,1,False,True
152.58.132.109,16,0.0625,2295.9375,10,1,False,True
152.58.132.180,451,0.0,9899.935698447893,167,-1,True,True
152.58.134.151,381,0.0,12305.971128608924,158,-1,True,True
152.58.134.67,208,0.0,10783.274038461539,85,-1,True,True
152.58.135.85,238,0.0,5204.697478991597,72,1,False,True
152.58.143.157,307,0.0,6028.57003257329,108,-1,True,True
152.58.146.55,252,0.0,6821.841269841269,57,1,False,True
152.58.153.220,37,0.02702702702702703,32646.37837837838,33,-1,True,True
152.58.154.220,295,0.0,6999.894915254237,61,1,False,True
152.58.155.126,247,0.0,7144.8421052631575,44,1,False,True
152.58.158.160,921,0.0,9169.00651465798,210,-1,True,True
152.58.159.123,646,0.0,7162.4984520123835,118,-1,True,True
152.58.170.253,362,0.0,5338.0110497237565,67,-1,True,True
152.58.176.158,251,0.0,11618.394422310757,93,-1,True,True
152.58.187.177,251,0.0,6318.97609561753,44,1,False,True
152.58.189.81,10,0.1,4320.7,6,1,False,True
152.58.198.11,18,0.05555555555555555,2372.222222222222,10,1,False,True
152.58.29.113,51,0.0196078431372549,5342.176470588235,44,1,False,True
152.58.40.235,431,0.0,5923.7656612529,145,-1,True,True
152.58.46.166,686,0.0,10348.924198250728,202,-1,True,True
152.58.96.90,9,0.2222222222222222,2225.222222222222,8,-1,True,True
152.59.135.189,945,0.0,7157.543915343916,147,-1,True,True
152.59.142.185,336,0.0,11064.520833333334,119,-1,True,True
152.59.143.108,10,0.1,18931.2,6,-1,True,True
152.59.143.116,50,0.02,6406.22,44,1,False,True
152.59.143.215,1128,0.0,7481.321808510638,218,-1,True,True
152.59.143.49,12,0.08333333333333333,4113.583333333333,7,1,False,True
152.59.143.85,651,0.0,5259.950844854071,107,-1,True,True
152.59.145.110,143,0.0,14548.244755244756,88,-1,True,True
152.59.145.189,357,0.0,10201.420168067227,83,-1,True,True
152.59.145.202,663,0.0,8142.763197586727,119,-1,True,True
152.59.145.254,526,0.0,6122.222433460076,79,-1,True,True
152.59.146.58,1364,0.0,6300.4112903225805,211,-1,True,True
152.59.169.175,298,0.0,7881.640939597315,43,1,False,True
152.59.171.143,273,0.0,6941.021978021978,62,1,False,True
152.59.171.246,184,0.0,14700.103260869566,116,-1,True,True
152.59.171.44,168,0.0,5912.267857142857,93,1,False,True
152.59.177.80,55,0.01818181818181818,19008.563636363637,50,-1,True,True
152.59.178.166,120,0.0,12944.775,109,-1,True,True
152.59.181.94,267,0.0,6864.483146067416,81,-1,True,True
152.59.182.64,362,0.0,3438.8701657458564,87,-1,True,True
152.59.208.64,89,0.033707865168539325,20870.08988764045,27,-1,True,True
152.59.87.80,39,0.02564102564102564,2985.25641025641,33,1,False,True
152.59.90.169,368,0.0,9880.796195652174,64,-1,True,True
157.34.76.19,57,0.05263157894736842,3041.0877192982457,49,-1,True,True
157.35.43.124,306,0.0,4634.803921568628,55,-1,True,True
157.35.5.103,292,0.0,6717.83904109589,62,1,False,True
157.35.61.133,551,0.0,8839.230490018148,180,-1,True,True
157.35.64.200,1996,0.4408817635270541,5536.452905811623,115,-1,True,True
157.35.71.92,307,0.0,10220.794788273615,142,-1,True,True
157.42.196.40,572,0.0,5563.062937062937,86,-1,True,True
157.42.225.149,340,0.0,6310.60294117647,77,-1,True,True
157.42.226.172,261,0.0,5451.325670498084,66,1,False,True
157.42.231.75,254,0.0,6864.925196850394,55,1,False,True
157.42.233.222,1,1.0,341.0,1,-1,True,True
157.42.242.11,109,0.0,6512.229357798165,95,1,False,True
157.42.242.239,123,0.0,15338.943089430893,91,-1,True,True
157.42.7.14,1360,0.0,7417.65294117647,229,-1,True,True
157.42.7.71,608,0.0,4667.370065789473,87,-1,True,True
157.48.217.166,131,0.0,14179.664122137405,103,-1,True,True
157.50.69.33,205,0.0,7430.980487804878,77,1,False,True
169.133.168.183,917,0.0,373.6019629225736,804,-1,True,True
169.38.126.166,430,0.0,404.3255813953488,4,-1,True,True
169.48.93.165,483,0.0,1346.3871635610767,8,-1,True,True
170.205.31.106,27,1.0,341.1111111111111,9,-1,True,True
170.205.31.108,9,1.0,341.1111111111111,9,-1,True,True
170.205.31.123,9,1.0,341.1111111111111,9,-1,True,True
170.205.31.134,10,1.0,341.5,2,-1,True,True
170.244.94.213,1,1.0,342.0,1,-1,True,True
171.50.225.222,389,0.0,8889.889460154242,79,-1,True,True
171.50.227.152,131,0.0,14760.519083969466,97,-1,True,True
171.76.183.243,258,0.0,7840.259689922481,61,1,False,True
171.79.114.16,288,0.0,8629.291666666666,74,-1,True,True
171.79.33.114,24,0.125,2397.0416666666665,14,-1,True,True
171.79.37.114,101,0.0297029702970297,11418.069306930693,42,-1,True,True
171.79.59.95,13,0.15384615384615385,2193.5384615384614,10,-1,True,True
182.65.200.140,659,0.0,6810.90440060698,98,-1,True,True
182.68.104.99,676,0.0,6238.961538461538,100,-1,True,True
182.72.100.186,1064,0.0,10238.126879699248,370,-1,True,True
183.82.33.14,1126,0.0008880994671403197,9133.32593250444,282,-1,True,True
183.83.148.143,324,0.0,6905.37037037037,78,-1,True,True
193.135.13.147,1,1.0,342.0,1,-1,True,True
202.164.136.46,545,0.0,6913.2165137614675,126,-1,True,True
203.115.97.42,2827,0.0,11618.704280155642,1327,-1,True,True
